ocid,releasedate,buyer_id,buyer,supplier,supplier_id,aw_total_suppliers,aw_value
ocds-0c46vo-0353-JUN297536,2019-06-07 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,00414948,1,3000000.0
ocds-0c46vo-0353-NOV275838,2018-11-29 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,ASE CORPORATE EYECARE LIMITED,03425183,1,315000.0
ocds-0c46vo-0001-47075297-8645-42da-b8f0-0856c65fec99,2018-06-07 15:06:09+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,WOOD ENVIRONMENT &AMP; INFRASTRUCTURE SOLUTIONS UK LIMITED,,2,90203.89
ocds-0c46vo-0001-47075297-8645-42da-b8f0-0856c65fec99,2018-06-07 15:06:09+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,WOOD ENVIRONMENT &AMP; INFRASTRUCTURE SOLUTIONS UK LIMITED.,,2,90203.89
ocds-0c46vo-0001-a53c97a5-ccb7-4569-9b16-7f73458fdfb9,2018-07-30 09:51:42+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,AMAZIC UK LTD,,1,80000
ocds-0c46vo-0353-OCT270028,2018-10-10 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,PORTSMOUTH HOSPITALS NHS TRUST,,1,119920.0
ocds-0c46vo-0353-MAY198182,2017-05-10 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,PEARSON ENGINEETRING LTD,,1,518277.58
ocds-0c46vo-0001-fe4ffcf8-af7d-430d-896f-357928e62fba,2018-10-24 10:33:53+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,CALDER CONFERENCES LIMITED,03702902,1,12754.75
ocds-0c46vo-0353-JAN178415,2017-01-07 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,THALES OPTRONICS LIMITED,SC008495,1,4300000.0
ocds-0c46vo-0353-JAN180130,2017-01-13 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,BAE SYSTEMS SURFACE SHIPS MARITIME LIMITED,04164801,1,400000000.0
ocds-0c46vo-0353-JAN181468,2017-01-20 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,BRUKER UK LIMITED,00923986,1,402600.0
ocds-0c46vo-0353-JAN182724,2017-01-26 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,L3 COMMUNICATIONS,,1,900000.0
ocds-0c46vo-0353-JAN182820,2017-01-26 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SAAB AB (PUBL),,1,7500000.0
ocds-0c46vo-0353-JAN183277,2017-01-27 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,CUBIC DEFENSE APPLICATIONS LTD,,1,2000000.0
ocds-0c46vo-0353-JAN183267,2017-01-27 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SAAB AB,,1,2000000.0
ocds-0c46vo-0353-FEB184519,2017-02-03 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,PALL CORPORATION LIMITED,,1,310000.0
ocds-0c46vo-0353-FEB184538,2017-02-03 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SURVEY SUPPLIES LIMITED T/A KOREC,,1,354438.0
ocds-0c46vo-0353-FEB184568,2017-02-03 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,ELSEVIER BV,,1,361553.0
ocds-0c46vo-0353-FEB184666,2017-02-03 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,THERMO ELECTRON MANUFACTURING LTD,,1,451000.0
ocds-0c46vo-0353-FEB185006,2017-02-03 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SALVAGE AND MARINE OPERATIONS,,1,54167.0
ocds-0c46vo-0353-FEB185991,2017-02-09 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,GLASGOW PRESTWICK AIRPORT LIMITED,SC135362,1,365800.0
ocds-0c46vo-0353-FEB185992,2017-02-09 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,LIVERPOOL AIRPORT LTD,,1,370500.0
ocds-0c46vo-0353-FEB186852,2017-02-15 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,GE AVIATION LTD (THIS CONTRACT IS YET TO BE AWARDED),,1,4000000.0
ocds-0c46vo-0353-FEB186978,2017-02-16 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,QINETIQ LIMITED,03796233,1,5400000.0
ocds-0c46vo-0353-FEB187297,2017-02-18 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,PEARSON ENGINEERING LIMITED,01876136,1,370000.0
ocds-0c46vo-0353-FEB187940,2017-02-23 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,NORTHROP GRUMMAN UK LIMITED,05989428,1,3500000.0
ocds-0c46vo-0353-FEB187941,2017-02-23 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,LOCKHEED MARTIN UK LTD (INTEGRATED SYSTEMS),,1,1200000.0
ocds-0c46vo-0353-FEB188042,2017-02-24 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SPIRENT COMMUNICATIONS PLC,00470893,1,151000.0
ocds-0c46vo-0353-FEB188087,2017-02-24 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,ZODIAC AEROSAFETY SYSTEMS,,1,7300000.0
ocds-0c46vo-0353-FEB188151,2017-02-24 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SCANNA MSC LIMITED,02151037,1,1750000.0
ocds-0c46vo-0353-FEB188137,2017-02-24 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SDS GROUP LIMITED,03348279,1,1000000.0
ocds-0c46vo-0353-FEB188197,2017-02-25 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SUMMIT MEDICAL AND SCIENTIFIC,,1,1200000.0
ocds-0c46vo-0353-MAR188670,2017-03-01 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SEYNTEX N.V.,,1,999999.0
ocds-0c46vo-0353-MAR188671,2017-03-01 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,DEVONPORT ROYAL DOCKYARD LIMITED,02077752,1,10000000.0
ocds-0c46vo-0353-MAR189157,2017-03-03 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,LOCKHED MARTIN OVERSEAS LIMITED LIABILITY COMPANY,,1,1.0
ocds-0c46vo-0353-MAR189933,2017-03-09 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,ROLLS-ROYCE DEUTSCHLAND LTD & CO KG,,1,4900000.0
ocds-0c46vo-0353-MAR190080,2017-03-10 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,THE HYMATIC ENGINEERING COMPANY T/A HONEYWELL HYMATIC,,1,15200000.0
ocds-0c46vo-0353-MAR190159,2017-03-11 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,AGILENT TECHNOLOGIES LDA UK LIMITED,08815891,1,150000.0
ocds-0c46vo-0353-MAR190224,2017-03-11 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,QINETIQ LIMITED,03796233,1,4000000.0
ocds-0c46vo-0353-MAR190419,2017-03-14 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,1SPATIAL GROUP LIMITED,04785688,1,220000.0
ocds-0c46vo-0353-MAR190477,2017-03-14 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,THALES UK LIMITED,00868273,1,1266000.0
ocds-0c46vo-0353-MAR190460,2017-03-14 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,PORTSMOUTH AVIATION LIMITED,00238470,1,1920000.0
ocds-0c46vo-0353-MAR190478,2017-03-14 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,MEGGITT AVIONICS,,1,525000.0
ocds-0c46vo-0353-MAR191059,2017-03-17 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SMITH AND JEWELL T/A SJ ENGINEERING SPECIALIST LIMITED,,1,1278547.0
ocds-0c46vo-0353-MAR191571,2017-03-21 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,QIRESULTS LTD,,1,1200000.0
ocds-0c46vo-0001-6fef3433-15be-4ccf-bc95-07baf35a19b1,2018-10-05 13:12:32+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,"COMPANIA ESPANOLA DE PETROLEOS, S.A.U (CEPSA)",,1,0
ocds-0c46vo-0353-MAR191824,2017-03-22 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,FUJITSU SERVICES LIMITED,NF000668,1,1000000.0
ocds-0c46vo-0353-MAR192449,2017-03-28 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,TERADYNE LIMITED,00920424,1,8709834.0
ocds-0c46vo-0353-APR194114,2017-04-08 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,DAVID BROWN GEAR SYSTEMS LIMITED,06624684,1,86700850.0
ocds-0c46vo-0353-APR195786,2017-04-22 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,JEPPESEN UK LIMITED,,1,700000.0
ocds-0c46vo-0353-APR195832,2017-04-22 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,00414948,1,1800000.0
ocds-0c46vo-0353-APR196102,2017-04-25 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,BAE SYSTEMS HAGGLUNDS,,1,6000000.0
ocds-0c46vo-0353-APR196457,2017-04-27 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SAAB AB (PUBL),,1,75000000.0
ocds-0c46vo-0353-MAY197137,2017-05-03 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,LOCKHEED MARTIN OVERSEAS SERVICES CORPORATION,FC018113,1,19000000.0
ocds-0c46vo-0353-MAY198604,2017-05-12 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,TERBERG DTS (UK) LTD,,1,850000.0
ocds-0c46vo-0353-MAY199583,2017-05-19 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,MUIRHEAD AEROSPACE LIMITED,00560015,1,10522699.08
ocds-0c46vo-0353-MAY199569,2017-05-19 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,MANROY ENGINEERING LIMITED,,1,400000.0
ocds-0c46vo-0353-MAY199904,2017-05-23 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,RAYTHEON SYSTEMS LIMITED,00406809,1,10000000.0
ocds-0c46vo-0353-MAY200378,2017-05-26 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,NORTHROP GRUMMAN UK LIMITED,05989428,1,800000.0
ocds-0c46vo-0353-MAY200641,2017-05-27 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,00414948,1,4000000.0
ocds-0c46vo-0353-JUN202267,2017-06-09 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,NORTHROP GRUMMAN INTERNATIONAL TRADING INC,2013030800186,1,90000000.0
ocds-0c46vo-0353-JUN202836,2017-06-14 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,IHS GLOBAL LIMITED,00788737,1,211971.6
ocds-0c46vo-0353-JUN202876,2017-06-14 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,ISTEC SERVICES LIMITED,,1,950000.0
ocds-0c46vo-0353-JUN203037,2017-06-15 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,HORIBA MIRA LIMITED,09626352,1,2000000.0
ocds-0c46vo-0353-JUN203022,2017-06-15 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,DEFENCE PRODUCTS LIMITED,01700836,1,15539410.0
ocds-0c46vo-0353-JUN203327,2017-06-17 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,LEONARDO MW LTD,02426132,1,4000000.0
ocds-0c46vo-0353-JUN203868,2017-06-22 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,ULTRA ELECTRONICS LIMITED,02830644,1,619000.0
ocds-0c46vo-0353-JUN203878,2017-06-22 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,ROLLS-ROYCE POWER ENGINEERING PLC,01305027,1,157000000.0
ocds-0c46vo-0353-JUN204319,2017-06-27 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,JJ MORGAN CONSULTING LIMITED,,1,167050.0
ocds-0c46vo-0353-JUN204419,2017-06-27 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,LEONARDO MW LTD,02426132,1,2000000.0
ocds-0c46vo-0353-JUN204812,2017-06-29 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,MEGGITT AEROSPACE LIMITED T?A MEGGITT AVIONICS,,1,750000.0
ocds-0c46vo-0353-JUN205003,2017-06-30 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,AERIUS MARINE GMBH,,1,1600000.0
ocds-0c46vo-0353-JUN205041,2017-06-30 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,TRIMLINE LTD.,,1,40000000.0
ocds-0c46vo-0353-JUL205743,2017-07-06 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,THALES UK LTD SECURE COMMUNICATIONS AND INFORMATION SYSTEMS (SIX),,1,100000000.0
ocds-0c46vo-0353-JUL205760,2017-07-06 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,LIGHTFOOT DEFENCE,,1,193980.0
ocds-0c46vo-0353-JUL206088,2017-07-08 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,"BRIARTEK, INC.",,1,443000.0
ocds-0c46vo-0353-JUL206100,2017-07-08 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,BAE SYSTEMS HÄGGLUNDS AB,,1,1000000.0
ocds-0c46vo-0353-JUL206260,2017-07-11 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,BOEING DEFENCE UK LIMITED,01290439,1,50000000.0
ocds-0c46vo-0353-JUL206514,2017-07-13 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,WEST WALES AIRPORT LIMITED,04118485,1,130000.0
ocds-0c46vo-0353-JUL208091,2017-07-25 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,NAMMO RAUFOSS,,1,4890122.19
ocds-0c46vo-0353-JUL208660,2017-07-28 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,PURPLE FOODSERVICE SOLUTIONS LIMITED,05460707,1,45000000.0
ocds-0c46vo-0353-JUL208900,2017-07-29 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,WORTHINGTON INDUSTRIAL PRODUCTS LTD,,1,706000.0
ocds-0c46vo-0353-AUG209292,2017-08-01 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,GOETZLOFF GESELLSCHAFT GMBH,,1,842000.0
ocds-0c46vo-0353-AUG209577,2017-08-02 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SAAB AB ELECTRONIC (DEFENCE SYSTEMS DIVISION,,1,38000000.0
ocds-0c46vo-0353-AUG209790,2017-08-03 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SC INNOVATION-GLOBAL LIMITED,08021929,1,700000.0
ocds-0c46vo-0353-AUG210823,2017-08-10 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,KONGSBERG MARITIME LIMITED,SC107343,1,1382000.0
ocds-0c46vo-0353-AUG211495,2017-08-16 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,L'HOTELLIER,,1,4564277.0
ocds-0c46vo-0353-AUG212614,2017-08-24 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,QINETIQ LIMITED,03796233,1,600000.0
ocds-0c46vo-0353-AUG212712,2017-08-25 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,MITCHELL POWERSYSTEMS,,1,1520984.0
ocds-0c46vo-0353-AUG212802,2017-08-26 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,OCENCO INCORPORATED,,1,8129000.0
ocds-0c46vo-0353-SEP214535,2017-09-12 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,CGI IT UK LIMITED,00947968,1,2693480.0
ocds-0c46vo-0353-SEP214522,2017-09-12 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,MEGGITT TRAINING SYSTEMS LIMITED,,1,12000000.0
ocds-0c46vo-0353-SEP214540,2017-09-12 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,ENTERPRISE SERVICES DEFENCE AND SECURITY UK LIMITED,00936751,1,1000100.0
ocds-0c46vo-0353-SEP214703,2017-09-13 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,COMPUTER APPLICATION SERVICES LIMITED,SC102278,1,900000.0
ocds-0c46vo-0353-SEP214852,2017-09-14 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,PENNY AND GILES LTD,,1,350000.0
ocds-0c46vo-0353-SEP215126,2017-09-16 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,VICON MOTION SYSTEMS LTD,,1,888000.0
ocds-0c46vo-0353-SEP215224,2017-09-16 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,GENERAL DYNAMICS UNITED KINGDOM LTD.,,1,2596000.0
ocds-0c46vo-0353-SEP215324,2017-09-19 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SUBMERSIBLE SYSTEMS INC,,1,205000.0
ocds-0c46vo-0353-SEP215755,2017-09-21 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,GRID DEFENCE SYSTEMS LIMITED,02837836,1,750000.0
ocds-0c46vo-0353-SEP215929,2017-09-22 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,ACTSAFE SYSTEMS AB,,1,600000.0
ocds-0c46vo-0353-SEP216023,2017-09-23 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,MS PHINE BANKS,,1,300000.0
ocds-0c46vo-0353-SEP216122,2017-09-23 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,RAYTHEON SYSTEMS LIMITED,00406809,1,1700000.0
ocds-0c46vo-0353-SEP216437,2017-09-27 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SURVITEC GROUP LIMITED (RFD BEAUFORT LIMITED),,1,2000000.0
ocds-0c46vo-0353-SEP216779,2017-09-29 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SJ PROCUREMENT LTD,,1,192000.0
ocds-0c46vo-0353-SEP216785,2017-09-29 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SURVITEC GROUP LIMITED (RFD BEAUFORT LIMITED),,1,5500000.0
ocds-0c46vo-0353-SEP216934,2017-09-30 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SJ PROCUREMENT LTD,,1,192000.0
ocds-0c46vo-0353-SEP216944,2017-09-30 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SURVITEC GROUP LIMITED,00905173,1,1200000.0
ocds-0c46vo-0353-OCT217316,2017-10-04 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,00414948,1,1800000.0
ocds-0c46vo-0353-OCT217463,2017-10-05 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,GENERAL DYNAMICS EUROPEAN LAND SYSTEMS-GERMANY GMBH,,1,2620000.0
ocds-0c46vo-0353-OCT217681,2017-10-06 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,RACAL ACOUSTICS,,1,5199133.0
ocds-0c46vo-0353-OCT218929,2017-10-17 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,SCORE MARINE LIMITED,SC229821,1,1935364.44
ocds-0c46vo-0353-OCT218971,2017-10-17 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,CATERPILLAR SHREWSBURY LIMITED,03851260,1,3500000.0
ocds-0c46vo-0353-OCT219507,2017-10-20 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,FERRETS INCOPORATED LIMITED,,1,335551.04
ocds-0c46vo-0353-OCT219672,2017-10-21 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,CIVIL AVIATION AUTHORITY,CAA004_CAA_gov,1,1000000.0
ocds-0c46vo-0353-OCT219679,2017-10-21 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,THALES UK LIMITED,00868273,1,1670000.0
ocds-0c46vo-0353-OCT219862,2017-10-24 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,LEONARDO MW LTD,02426132,1,4797000.0
ocds-0c46vo-0353-NOV221554,2017-11-04 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,LOCKHEED MARTIN OVERSEAS LLC,,1,595500.0
ocds-0c46vo-0353-NOV222550,2017-11-10 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,FORCE PROTECTION EUROPE LIMITED,06681502,1,10000000.0
ocds-0c46vo-0353-NOV222551,2017-11-10 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,DRALLIM INDUSTRIES LIMITED,00606278,1,7411000.0
ocds-0c46vo-0353-NOV222717,2017-11-11 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,DRALLIM INDUSTRIES LIMITED,00606278,1,1456000.0
ocds-0c46vo-0353-NOV222925,2017-11-14 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,NAVISTAR DEFENSE UK LIMITED,,1,501731.0
ocds-0c46vo-0353-NOV223610,2017-11-17 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,"JAMES COOK UNIVERSITY HOSPITAL, SOUTH TEES NHS FOUNDATION TRUST",,1,165000.0
ocds-0c46vo-0353-NOV223798,2017-11-18 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,GENERAL DYNAMICS EUROPEAN LAND SYSTEMS-GERMANY GMBH,,1,1257152.0
ocds-0c46vo-0353-NOV224081,2017-11-21 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,NAVISTAR DEFENSE LLC,,1,14000000.0
ocds-0c46vo-0353-NOV224080,2017-11-21 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,ROLLS-ROYCE PLC,01003142,1,4000000.0
ocds-0c46vo-0353-NOV224082,2017-11-21 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,RFD BEAUFORT LIMITED,04667640,1,592000.0
ocds-0c46vo-0353-NOV224579,2017-11-23 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,COBHAM HELICOPTER SERVICES,,1,2080000.0
ocds-0c46vo-0353-NOV225023,2017-11-25 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,VERTEC SCIENTIFIC LIMITED,01677833,1,112000.0
ocds-0c46vo-0353-NOV225094,2017-11-25 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,MBDA UK LIMITED,03144919,1,17500000.0
ocds-0c46vo-0353-NOV225095,2017-11-25 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,BAE SYSTEMS SURFACE SHIPS LIMITED,06160534,1,5000000.0
ocds-0c46vo-0353-NOV225509,2017-11-29 00:00:00+00,MOD017_MOD_gov,MINISTRY OF DEFENCE,L'HOTELLIER,,1,3950736.0
